country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Spain,75.539,79.851,48.652,48.013,50.748,75.266,74.266,79.757,82.329,84.186,88.025,97.713,99.999,105.713,104.998,106.998,103.569,102.283,97.855,96.141,92.998,89.489,74.989
Italy,62.311,59.186,40.382,44.041,43.616,60.41,62.91,64.338,60.552,59.981,64.147,66.938,70.51,70.439,73.332,76.249,74.725,70.653,75.438,76.902,81.926,90.284,80.231
England,58.34,62.153,41.729,41.901,45.236,75.749,79.499,81.856,85.785,84.41,82.963,84.748,80.391,76.284,75.962,79.605,85.462,90.462,100.569,106.641,109.57,104.303,91.732
Germany,51.132,49.489,32.333,31.92,29.28,48.722,56.695,64.207,69.436,75.186,79.614,81.641,79.415,80.177,79.498,71.427,71.927,74.784,73.57,75.213,82.481,86.624,72.285
France,43.468,48.326,32.649,33.515,35.413,52.668,50.168,53.74,53.678,54.178,59.0,56.5,52.416,52.749,56.665,56.415,58.498,59.248,56.081,60.081,61.164,66.831,59.665
Greece,36.782,34.748,23.43,21.175,16.83,25.831,28.165,29.899,34.166,37.1,34.0,33.6,31.9,29.7,27.9,28.6,27.6,26.3,26.0,28.2,25.225,31.525,31.0
Portugal,35.583,42.333,29.479,29.067,28.215,39.927,36.462,38.296,51.596,55.346,59.168,62.299,61.382,53.082,49.332,47.248,48.232,49.449,48.549,53.382,56.216,56.316,52.816
Netherlands,33.498,34.081,26.29,27.28,25.991,38.213,39.13,36.546,40.129,45.515,44.729,44.312,40.979,35.563,31.063,29.749,32.433,35.75,39.2,49.3,59.9,61.3,56.4
Scotland,30.375,32.125,20.953,20.046,20.129,33.375,27.875,25.791,25.141,21.141,15.191,16.566,17.9,17.3,18.925,18.625,22.125,27.875,33.375,36.9,36.4,36.05,29.900000000000002
TÃ¼rkiye,28.991,32.291,19.744,17.269,17.583,31.725,32.225,34.45,35.05,34.05,34.5,34.2,32.6,34.6,39.2,35.8,34.6,33.6,30.1,27.1,32.1,38.6,39.3
Belgium,28.5,28.875,20.953,19.963,19.188,26.7,25.325,27.9,27.0,32.4,34.4,36.3,37.2,40.0,42.4,38.5,39.9,37.9,36.5,30.6,42.2,48.8,47.2
Czechia,27.95,33.075,18.446,17.538,17.703,25.75,20.75,21.975,20.85,20.35,23.725,29.35,29.125,32.925,33.175,30.175,28.675,27.3,26.6,27.8,29.05,36.05,39.85
Switzerland,26.25,22.375,13.775,17.075,15.739,24.225,25.25,28.375,24.9,26.8,28.925,33.225,34.375,33.775,32.075,30.2,26.9,26.4,26.225,29.675,31.675,32.975,29.975
Ukraine,24.583,22.125,16.4,17.555,19.453,30.1,41.85,39.55,43.883,45.133,49.758,40.966,45.166,44.883,42.633,41.133,38.9,36.1,33.1,31.8,29.5,28.0,22.2
Israel,23.999,21.249,14.437,14.217,12.677,15.75,15.25,18.875,22.0,22.0,22.875,26.875,21.0,18.625,19.375,21.75,18.625,19.625,24.375,24.375,25.0,31.125,30.625
Austria,23.375,21.125,16.416,13.446,12.209,17.7,17.825,19.575,20.7,26.325,25.375,30.925,25.675,25.1,25.35,32.85,31.25,32.925,35.825,38.85,34.0,32.6,30.6
Poland,21.625,21.75,13.858,12.208,11.218,12.041,12.916,12.541,15.916,19.916,20.75,18.875,21.5,22.5,19.75,20.125,19.25,16.625,15.125,15.875,20.75,25.375,29.625
Russia,21.041,19.916,16.939,21.009,23.841,43.75,47.625,43.791,44.707,47.832,46.332,46.998,50.498,51.082,50.532,53.382,50.549,45.549,38.382,34.482,26.215,22.965,18.299
Serbia,19.831,20.165,14.025,13.2,12.512,16.75,15.25,14.0,14.25,14.25,14.625,14.125,13.875,14.625,15.375,18.75,22.25,25.5,26.75,33.375,32.375,27.775,22.875
Norway,19.575,21.9,13.331,13.843,13.018,22.425,18.8,17.4,14.375,14.675,14.175,14.275,14.375,19.25,18.325,17.425,20.2,21.75,21.0,27.25,29.0,31.625,33.25
Bulgaria,18.665,19.998,12.237,16.032,16.224,23.166,21.25,22.0,17.875,14.25,12.25,15.625,16.75,13.125,15.875,19.125,17.5,17.375,20.375,19.5,20.0,20.375,19.125
Croatia,18.625,17.375,11.961,9.294,7.067,11.624,12.332,12.332,16.124,18.874,19.583,19.625,23.5,23.875,25.25,26.0,27.375,24.875,26.275,27.15,25.4,25.525,24.775
Sweden,17.591,16.716,10.153,8.745,6.957,13.691,14.691,14.191,14.125,15.9,15.625,16.325,17.725,19.875,19.725,19.975,20.9,22.75,20.5,22.875,23.75,21.5,22.0
Denmark,17.375,17.45,11.352,11.187,12.259,20.45,24.45,27.35,30.55,27.525,25.7,21.3,19.8,18.6,24.0,25.95,27.025,29.25,27.875,27.175,27.825,31.45,31.075
Slovakia,13.665,12.832,7.7,8.14,7.15,12.332,14.665,15.832,14.499,14.874,14.208,11.0,11.25,12.0,11.75,12.125,15.625,15.875,13.625,15.625,19.75,19.625,19.75
Romania,12.957,14.79,10.202,20.762,26.51,40.599,38.908,39.491,25.824,18.824,23.024,27.257,26.299,25.383,24.35,20.45,15.95,16.7,18.2,17.15,20.5,21.375,20.125
Hungary,12.79,15.29,10.78,9.68,9.35,11.999,8.166,6.75,8.5,9.75,11.75,11.625,11.0,9.875,9.5,8.125,10.5,12.875,15.5,16.375,20.625,21.875,22.0
Cyprus,10.165,8.998,5.39,6.71,6.985,10.082,15.082,17.999,18.124,25.499,26.833,23.25,22.3,22.175,18.55,21.55,24.925,26.75,27.75,26.375,24.475,22.1,21.975
Slovenia,9.332,9.165,6.38,6.71,6.545,9.915,9.082,6.957,6.124,7.124,9.708,11.0,13.625,13.125,13.125,14.5,15.0,13.0,14.25,15.0,12.5,13.25,16.375
Finland,7.208,5.874,4.317,4.867,4.84,9.623,9.79,9.499,8.966,9.133,8.508,7.175,8.2,7.4,7.65,6.9,7.275,6.5,6.875,8.875,10.25,11.125,11.5
Latvia,6.665,5.998,4.4,4.73,5.72,8.831,9.164,8.248,7.415,5.874,5.791,6.25,4.25,5.375,6.125,5.625,5.625,7.625,7.375,8.625,10.625,10.625,11.75
Moldova,5.832,6.832,4.18,4.51,4.73,7.499,6.665,7.29,7.749,6.749,7.666,10.375,10.0,9.125,9.5,10.0,7.75,6.75,6.875,11.25,12.25,13.125,14.0
Georgia,5.666,4.999,4.07,4.18,4.07,5.831,6.664,5.748,6.957,8.666,9.166,9.875,9.375,8.125,6.375,5.0,4.75,5.75,6.875,7.0,8.0,7.625,6.625
Bosnia and Herzegovina,4.333,5.499,4.73,5.39,6.38,8.498,8.665,8.749,9.124,8.416,7.833,7.5,7.5,7.125,6.5,6.625,7.125,6.875,8.0,9.125,9.75,10.0,11.0
Lithuania,3.998,4.165,3.52,3.85,4.84,7.999,9.666,8.416,7.708,6.875,6.5,5.25,4.5,4.625,4.125,5.375,6.75,7.875,8.75,10.0,10.0,8.5,8.25
Iceland,3.498,3.332,3.19,3.19,3.3,5.999,6.665,5.415,4.957,5.332,5.416,6.75,8.0,8.75,8.375,8.25,7.25,5.375,4.875,5.375,7.25,9.583,12.333
North Macedonia,3.497,4.83,2.97,3.52,3.85,6.331,5.165,5.332,5.207,5.666,5.25,5.25,5.875,6.0,5.625,7.5,8.0,7.375,7.625,7.0,5.5,6.0,6.166
Belarus,3.416,3.582,2.695,2.915,3.08,5.332,8.666,11.541,16.083,18.208,20.875,18.625,20.75,20.0,19.875,18.625,21.875,18.875,15.25,12.5,9.875,6.625,5.5
Republic of Ireland,3.331,3.164,2.75,2.86,4.29,7.332,9.499,9.541,8.708,7.375,7.375,5.125,5.75,5.45,6.575,6.7,7.45,6.7,7.875,8.125,10.375,10.875,13.25
Malta,2.998,3.331,1.98,1.76,1.1,0.832,0.499,0.916,2.416,3.083,3.958,4.833,4.208,3.583,4.0,4.5,5.125,5.75,6.375,7.0,8.25,8.25,8.5
Armenia,2.165,2.831,1.98,1.98,2.31,3.665,2.999,2.999,2.583,2.208,1.75,2.875,2.75,4.125,5.125,4.875,5.25,7.625,7.375,8.125,9.875,10.625,12.0
Wales,2.165,2.332,1.21,1.54,1.32,2.331,2.331,2.581,2.79,2.749,2.583,3.0,2.875,3.5,3.875,3.875,4.125,5.0,5.0,5.5,6.166,5.791,6.791
Liechtenstein,2.0,2.0,2.64,2.97,3.96,5.5,5.5,4.5,4.0,4.0,3.5,4.5,6.0,10.5,11.0,13.0,13.5,13.5,9.0,6.5,11.0,10.0,8.0
Albania,1.831,1.831,1.76,2.42,2.53,3.666,3.999,3.999,3.874,3.916,4.166,5.5,5.375,6.625,6.625,8.5,7.5,7.375,7.25,8.0,6.25,7.375,7.875
Estonia,1.665,1.665,1.65,1.76,2.42,4.332,4.332,4.374,3.791,2.666,2.208,2.875,3.5,4.25,5.25,5.5,5.0,4.375,4.75,7.041,7.582,7.207,7.957
Northern Ireland,1.498,1.665,1.43,1.54,1.43,2.332,2.165,1.624,2.249,2.583,3.083,3.625,4.875,4.5,4.5,4.25,3.875,4.875,6.958,8.083,8.583,9.208,7.833
Luxembourg,1.332,1.498,1.1,1.21,1.1,1.498,1.332,1.249,1.374,2.333,3.375,4.875,5.125,5.25,4.875,4.375,5.5,8.0,8.25,8.75,9.0,8.625,6.875
Faroe Islands,1.165,0.832,0.66,1.1,1.1,1.832,2.165,1.832,1.416,1.416,1.583,2.125,3.5,3.625,3.5,3.75,4.0,3.75,6.125,7.25,8.75,10.375,10.75
Azerbaijan,1.165,1.165,0.88,1.32,2.09,3.832,4.498,5.498,6.165,6.207,8.541,10.375,12.5,14.875,17.75,19.125,19.0,18.75,16.875,17.0,16.625,20.125,19.625
Kazakhstan,0.5,0.666,0.44,1.1,1.54,2.582,3.249,4.499,4.374,5.333,5.958,8.25,10.375,14.125,15.25,18.125,19.25,19.25,15.625,15.75,12.625,11.5,10.625
Andorra,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,0.5,0.833,0.833,0.999,1.165,1.331,1.831,2.831,3.331,4.665,5.165,5.998,5.497999999999999
San Marino,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.75,0.916,0.916,0.666,0.999,0.499,0.333,0.333,0.499,0.666,0.666,1.166,1.332,1.999,1.832,2.498
Montenegro,,,,,,0.5,1.0,2.125,3.875,4.375,5.25,6.0,5.625,4.875,5.25,5.0,4.125,4.375,5.0,4.875,4.75,5.708,7.208
Gibraltar,,,,,,,,,,,,,0.25,1.0,2.5,3.0,4.0,4.75,5.666,5.416,5.791,4.957,5.457
Kosovo,,,,,,,,,,,,,,,,0.0,2.5,4.0,5.833,8.166,11.041,11.541,12.041
